epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,44.9257,2.71476,1.20413,0.99135,0.47365,0.46748,0.40039,0.14677,2.53958,2.47469,1.34145,0.000775822,0.000775822,0.000775822
56,45.7038,2.33851,1.10415,0.95174,0.47365,0.46748,0.40039,0.14677,2.53958,2.47469,1.34145,0.000759318,0.000759318,0.000759318
57,46.4609,2.53982,1.2081,0.98394,0.47365,0.46748,0.40039,0.14677,2.53958,2.47469,1.34145,0.000742815,0.000742815,0.000742815
58,47.2654,2.17219,1.14936,0.90636,0.69039,0.56364,0.53829,0.2077,2.31299,2.19863,1.198,0.000726312,0.000726312,0.000726312
59,48.0944,1.9514,1.03646,0.92865,0.69039,0.56364,0.53829,0.2077,2.31299,2.19863,1.198,0.000709809,0.000709809,0.000709809
60,49.0328,2.18362,0.95488,0.92397,0.69039,0.56364,0.53829,0.2077,2.31299,2.19863,1.198,0.000693305,0.000693305,0.000693305
61,49.8614,1.93678,0.93031,0.93528,0.69039,0.56364,0.53829,0.2077,2.31299,2.19863,1.198,0.000676802,0.000676802,0.000676802
62,50.7354,1.86163,0.96649,0.91016,0.61987,0.53285,0.53627,0.17423,2.54225,2.39649,1.2363,0.000660299,0.000660299,0.000660299
63,51.494,1.89815,1.02002,0.87981,0.61987,0.53285,0.53627,0.17423,2.54225,2.39649,1.2363,0.000643795,0.000643795,0.000643795
64,52.2601,1.85915,0.99639,0.85826,0.61987,0.53285,0.53627,0.17423,2.54225,2.39649,1.2363,0.000627292,0.000627292,0.000627292
65,53.0259,2.26681,0.97633,0.88865,0.61987,0.53285,0.53627,0.17423,2.54225,2.39649,1.2363,0.000610789,0.000610789,0.000610789
66,53.8343,2.01539,0.9952,0.87806,0.47429,0.51346,0.40708,0.14219,2.71866,2.2117,1.25458,0.000594286,0.000594286,0.000594286
67,54.7142,2.0917,1.13808,0.92968,0.47429,0.51346,0.40708,0.14219,2.71866,2.2117,1.25458,0.000577782,0.000577782,0.000577782
68,55.4785,1.74595,0.87262,0.85956,0.47429,0.51346,0.40708,0.14219,2.71866,2.2117,1.25458,0.000561279,0.000561279,0.000561279
69,56.2526,2.05068,0.89135,0.90055,0.47429,0.51346,0.40708,0.14219,2.71866,2.2117,1.25458,0.000544776,0.000544776,0.000544776
70,57.0568,1.63034,0.85949,0.89159,0.52748,0.55345,0.4372,0.15213,2.57987,1.94947,1.19204,0.000528272,0.000528272,0.000528272
71,57.8661,1.69019,0.81862,0.8495,0.52748,0.55345,0.4372,0.15213,2.57987,1.94947,1.19204,0.000511769,0.000511769,0.000511769
72,58.6405,1.80022,1.00588,0.91734,0.52748,0.55345,0.4372,0.15213,2.57987,1.94947,1.19204,0.000495266,0.000495266,0.000495266
73,59.3967,1.79438,0.88348,0.8879,0.52748,0.55345,0.4372,0.15213,2.57987,1.94947,1.19204,0.000478762,0.000478762,0.000478762
74,60.3003,1.80053,0.80628,0.90342,0.48726,0.51818,0.49634,0.17193,2.33553,1.7302,1.06385,0.000462259,0.000462259,0.000462259
75,61.0786,1.7325,0.85829,0.88841,0.48726,0.51818,0.49634,0.17193,2.33553,1.7302,1.06385,0.000445756,0.000445756,0.000445756
76,61.8542,1.88455,0.81186,0.90001,0.48726,0.51818,0.49634,0.17193,2.33553,1.7302,1.06385,0.000429253,0.000429253,0.000429253
77,62.6151,1.62004,0.69576,0.87786,0.48726,0.51818,0.49634,0.17193,2.33553,1.7302,1.06385,0.000412749,0.000412749,0.000412749
78,63.4063,1.73388,0.7698,0.89134,0.51124,0.55541,0.50747,0.19813,2.3212,1.72363,1.08879,0.000396246,0.000396246,0.000396246
79,64.1631,1.57361,0.80213,0.84699,0.51124,0.55541,0.50747,0.19813,2.3212,1.72363,1.08879,0.000379743,0.000379743,0.000379743
80,65.0461,1.50629,0.69577,0.85338,0.51124,0.55541,0.50747,0.19813,2.3212,1.72363,1.08879,0.000363239,0.000363239,0.000363239
81,65.8199,1.9413,0.90738,0.89362,0.51124,0.55541,0.50747,0.19813,2.3212,1.72363,1.08879,0.000346736,0.000346736,0.000346736
82,66.6113,1.55615,0.84481,0.87094,0.52175,0.55749,0.52806,0.20245,2.45015,1.74031,1.1427,0.000330233,0.000330233,0.000330233
83,67.3979,1.63145,0.72507,0.93929,0.52175,0.55749,0.52806,0.20245,2.45015,1.74031,1.1427,0.000313729,0.000313729,0.000313729
84,68.2115,1.33949,0.69717,0.82395,0.52175,0.55749,0.52806,0.20245,2.45015,1.74031,1.1427,0.000297226,0.000297226,0.000297226
85,68.989,1.44351,0.74365,0.84634,0.52175,0.55749,0.52806,0.20245,2.45015,1.74031,1.1427,0.000280723,0.000280723,0.000280723
86,69.7976,1.76502,0.82826,0.84603,0.5268,0.56145,0.55822,0.20799,2.47226,1.65617,1.12898,0.00026422,0.00026422,0.00026422
87,70.6381,1.63147,0.71763,0.86218,0.5268,0.56145,0.55822,0.20799,2.47226,1.65617,1.12898,0.000247716,0.000247716,0.000247716
88,71.5707,1.55783,0.78291,0.85708,0.5268,0.56145,0.55822,0.20799,2.47226,1.65617,1.12898,0.000231213,0.000231213,0.000231213
89,72.3994,1.75796,0.83268,0.86633,0.5268,0.56145,0.55822,0.20799,2.47226,1.65617,1.12898,0.00021471,0.00021471,0.00021471
90,73.3203,1.54073,0.73923,0.83406,0.54044,0.55981,0.56102,0.20239,2.48461,1.6264,1.1316,0.000198206,0.000198206,0.000198206
91,74.0861,1.35856,0.67521,0.83228,0.54044,0.55981,0.56102,0.20239,2.48461,1.6264,1.1316,0.000181703,0.000181703,0.000181703
92,74.87,1.61432,0.76671,0.92043,0.54044,0.55981,0.56102,0.20239,2.48461,1.6264,1.1316,0.0001652,0.0001652,0.0001652
93,75.6391,1.40895,0.66338,0.81378,0.54044,0.55981,0.56102,0.20239,2.48461,1.6264,1.1316,0.000148696,0.000148696,0.000148696
94,76.4244,1.44083,0.68902,0.81424,0.49633,0.50921,0.5223,0.19347,2.55844,1.63944,1.14308,0.000132193,0.000132193,0.000132193
95,77.291,1.49973,0.69045,0.8484,0.49633,0.50921,0.5223,0.19347,2.55844,1.63944,1.14308,0.00011569,0.00011569,0.00011569
96,78.0401,1.5168,0.71332,0.78777,0.49633,0.50921,0.5223,0.19347,2.55844,1.63944,1.14308,9.91865e-05,9.91865e-05,9.91865e-05
97,78.8025,1.48402,0.73361,0.79949,0.49633,0.50921,0.5223,0.19347,2.55844,1.63944,1.14308,8.26832e-05,8.26832e-05,8.26832e-05
98,79.5928,1.30339,0.70777,0.81816,0.44919,0.60455,0.53603,0.19354,2.59818,1.62527,1.14482,6.61799e-05,6.61799e-05,6.61799e-05
99,80.3473,1.38549,0.68236,0.86778,0.44919,0.60455,0.53603,0.19354,2.59818,1.62527,1.14482,4.96766e-05,4.96766e-05,4.96766e-05
100,81.1063,1.33153,0.68795,0.84166,0.44919,0.60455,0.53603,0.19354,2.59818,1.62527,1.14482,3.31733e-05,3.31733e-05,3.31733e-05
